,name,year_start,year_end,position,height,weight,height_in_meters
315,Ed Biedenbach,1969,1969,G,6-1,175.0,1.8542000000000003
316,Andris Biedrins,2005,2014,C,6-11,240.0,2.1082
317,Don Bielke,1956,1956,C,6-7,240.0,2.0066
318,Bob Bigelow,1976,1979,F,6-7,215.0,2.0066
319,Lionel Billingy,1975,1975,F,6-9,215.0,2.0574000000000003
320,Chauncey Billups,1998,2014,G,6-3,202.0,1.9050000000000002
321,Dave Bing,1967,1978,G,6-3,180.0,1.9050000000000002
322,Joe Binion,1987,1987,F,6-8,235.0,2.032
323,Khem Birch,2018,2018,C,6-9,220.0,2.0574000000000003
324,Jabari Bird,2018,2018,G,6-6,197.0,1.9812000000000003
325,Jerry Bird,1959,1959,F,6-6,210.0,1.9812000000000003
326,Larry Bird,1980,1992,F,6-9,220.0,2.0574000000000003
327,Otis Birdsong,1978,1989,G,6-3,190.0,1.9050000000000002
328,Gale Bishop,1949,1949,F,6-3,195.0,1.9050000000000002
329,Bismack Biyombo,2012,2018,C,6-9,255.0,2.0574000000000003
330,Nemanja Bjelica,2016,2018,F,6-10,240.0,2.0828
331,Uwe Blab,1986,1990,C,7-1,252.0,2.159
332,Charlie Black,1949,1952,F,6-5,200.0,1.9558000000000002
333,Norman Black,1981,1981,G,6-5,185.0,1.9558000000000002
334,Tarik Black,2015,2018,C,6-9,250.0,2.0574000000000003
335,Tom Black,1971,1971,C,6-10,220.0,2.0828
336,Rolando Blackman,1982,1994,G,6-6,190.0,1.9812000000000003
337,Alex Blackwell,1993,1993,F,6-6,250.0,1.9812000000000003
338,Cory Blackwell,1985,1985,F,6-6,210.0,1.9812000000000003
339,James Blackwell,1995,1995,G,6-0,190.0,1.8288000000000002
340,Nate Blackwell,1988,1988,G,6-4,170.0,1.9304000000000001
341,DeJuan Blair,2010,2016,F,6-7,270.0,2.0066
342,Steve Blake,2004,2016,G,6-3,172.0,1.9050000000000002
343,Antonio Blakeney,2018,2018,G,6-4,197.0,1.9304000000000001
344,Will Blalock,2007,2007,G,6-0,205.0,1.8288000000000002
345,George Blaney,1962,1962,G,6-1,175.0,1.8542000000000003
346,Lance Blanks,1991,1993,G,6-4,190.0,1.9304000000000001
347,Ricky Blanton,1993,1993,F,6-7,215.0,2.0066
348,Andray Blatche,2006,2014,F,6-11,235.0,2.1082
349,Mookie Blaylock,1990,2002,G,6-0,180.0,1.8288000000000002
350,Eric Bledsoe,2011,2018,G,6-1,205.0,1.8542000000000003
351,Leon Blevins,1951,1951,G,6-2,160.0,1.8796000000000002
352,John Block,1967,1976,F,6-9,207.0,2.0574000000000003
353,Mike Bloom,1948,1949,F,6-6,190.0,1.9812000000000003
354,Corie Blount,1994,2004,F,6-9,240.0,2.0574000000000003
355,Mark Blount,2001,2009,C,7-0,230.0,2.1336
356,Vander Blue,2014,2018,G,6-4,200.0,1.9304000000000001
357,Ray Blume,1982,1982,G,6-4,185.0,1.9304000000000001
358,Nelson Bobb,1950,1953,G,6-0,170.0,1.8288000000000002
359,Tony Bobbitt,2005,2005,G,6-4,190.0,1.9304000000000001
360,Bucky Bockhorn,1959,1965,G,6-4,200.0,1.9304000000000001
361,Tom Boerwinkle,1969,1978,C,7-0,265.0,2.1336
362,Keith Bogans,2004,2014,G,6-5,215.0,1.9558000000000002
363,Bogdan Bogdanovic,2018,2018,G,6-6,205.0,1.9812000000000003
364,Bojan Bogdanovic,2015,2018,G,6-8,216.0,2.032
365,Muggsy Bogues,1988,2001,G,5-3,136.0,1.6002
366,Andrew Bogut,2006,2018,C,7-0,260.0,2.1336
367,Etdrick Bohannon,1998,2001,F,6-9,220.0,2.0574000000000003
368,Manute Bol,1986,1995,C,7-7,200.0,2.3114
369,Bill Bolger,1954,1954,F,6-5,205.0,1.9558000000000002
370,Joel Bolomboy,2017,2018,F,6-9,235.0,2.0574000000000003
371,Doug Bolstorff,1958,1958,G,6-4,195.0,1.9304000000000001
372,George Bon Salle,1962,1962,F,6-8,220.0,2.032
373,Phil Bond,1978,1978,G,6-2,175.0,1.8796000000000002
374,Walter Bond,1993,1995,G,6-5,200.0,1.9558000000000002
375,Dexter Boney,1997,1997,G,6-4,185.0,1.9304000000000001
376,Ron Bonham,1965,1968,F,6-5,192.0,1.9558000000000002
377,Anthony Bonner,1991,1996,F,6-8,215.0,2.032
378,Matt Bonner,2005,2016,F,6-10,235.0,2.0828
379,Butch Booker,1970,1970,C,6-10,230.0,2.0828
380,Devin Booker,2016,2018,G,6-6,206.0,1.9812000000000003
381,Melvin Booker,1996,1997,G,6-1,185.0,1.8542000000000003
382,Trevor Booker,2011,2018,F,6-8,228.0,2.032
383,Josh Boone,2007,2010,F,6-10,237.0,2.0828
384,Ron Boone,1969,1981,G,6-2,200.0,1.8796000000000002
385,Calvin Booth,2000,2009,C,6-11,230.0,2.1082
386,Keith Booth,1998,1999,F,6-6,226.0,1.9812000000000003
387,Bob Boozer,1961,1971,F,6-8,215.0,2.032
388,Carlos Boozer,2003,2015,F,6-9,258.0,2.0574000000000003
389,Curtis Borchardt,2004,2005,C,7-0,240.0,2.1336
