,name,year_start,year_end,position,height,weight,height_in_meters
2138,Jason Kapono,2004,2012,F,6-8,213.0,2.032
2139,Tony Kappen,1947,1947,G,5-10,165.0,1.778
2140,Sergey Karasev,2014,2016,G,6-7,208.0,2.0066
2141,Coby Karl,2008,2010,G,6-5,215.0,1.9558000000000002
2143,Ed Kasid,1947,1947,G,5-11,185.0,1.8034
2144,Mario Kasun,2005,2006,C,7-1,260.0,2.159
2145,Leo Katkaveck,1949,1950,G,6-0,185.0,1.8288000000000002
2146,Bob Kauffman,1969,1975,F,6-8,240.0,2.032
2147,Sasha Kaun,2016,2016,C,6-11,260.0,2.1082
2148,Wilbert Kautz,1947,1947,G,6-0,180.0,1.8288000000000002
2149,Clarence Kea,1981,1982,F,6-6,218.0,1.9812000000000003
2150,Mike Kearns,1955,1955,G,6-2,178.0,1.8796000000000002
2151,Tommy Kearns,1959,1959,G,5-11,185.0,1.8034
2152,Adam Keefe,1993,2001,F,6-9,230.0,2.0574000000000003
2153,Harold Keeling,1986,1986,G,6-4,185.0,1.9304000000000001
2154,Bill Keller,1970,1976,G,5-10,177.0,1.778
2155,Gary Keller,1968,1969,F,6-9,220.0,2.0574000000000003
2156,Ken Keller,1947,1947,G,6-1,180.0,1.8542000000000003
2157,Rich Kelley,1976,1986,C,7-0,235.0,2.1336
2158,Clark Kellogg,1983,1987,F,6-7,225.0,2.0066
2159,Arvesta Kelly,1968,1972,G,6-2,175.0,1.8796000000000002
2160,Jerry Kelly,1947,1948,F,6-2,172.0,1.8796000000000002
2161,Ryan Kelly,2014,2017,F,6-11,230.0,2.1082
2162,Tom Kelly,1949,1949,G,6-0,170.0,1.8288000000000002
2163,Greg Kelser,1980,1985,F,6-7,190.0,2.0066
2164,Ben Kelso,1974,1974,G,6-3,195.0,1.9050000000000002
2165,Shawn Kemp,1990,2003,F,6-10,230.0,2.0828
2166,Tim Kempton,1987,1998,F,6-10,245.0,2.0828
2167,Frank Kendrick,1975,1975,F,6-6,198.0,1.9812000000000003
2168,Luke Kennard,2018,2018,G,6-6,206.0,1.9812000000000003
2169,D.J. Kennedy,2012,2012,F,6-6,215.0,1.9812000000000003
2170,Goo Kennedy,1972,1977,F,6-5,205.0,1.9558000000000002
2171,Joe Kennedy,1969,1971,F,6-6,210.0,1.9812000000000003
2172,Pickles Kennedy,1961,1961,G,5-11,180.0,1.8034
2173,Larry Kenon,1974,1983,F,6-9,205.0,2.0574000000000003
2174,Billy Kenville,1954,1960,G,6-2,187.0,1.8796000000000002
2175,Jonathan Kerner,1999,1999,C,6-11,245.0,2.1082
2176,Red Kerr,1955,1966,C,6-9,230.0,2.0574000000000003
2177,Steve Kerr,1989,2003,G,6-3,175.0,1.9050000000000002
2178,Jack Kerris,1950,1953,F,6-6,215.0,1.9812000000000003
2179,Jerome Kersey,1985,2001,F,6-7,215.0,2.0066
2180,Tom Kerwin,1968,1968,F,6-7,210.0,2.0066
2181,Alec Kessler,1991,1994,F,6-11,230.0,2.1082
2182,Lari Ketner,2000,2001,F,6-9,277.0,2.0574000000000003
2183,Julius Keye,1970,1975,F,6-10,200.0,2.0828
2184,Randolph Keys,1989,1996,F,6-7,195.0,2.0066
2185,Viktor Khryapa,2005,2008,F,6-9,210.0,2.0574000000000003
2186,Jason Kidd,1995,2013,G,6-4,205.0,1.9304000000000001
2187,Warren Kidd,1994,1994,F,6-9,235.0,2.0574000000000003
2188,Michael Kidd-Gilchrist,2013,2018,F,6-7,232.0,2.0066
2189,Irv Kiffin,1980,1980,F,6-9,225.0,2.0574000000000003
2190,Jack Kiley,1952,1953,G,6-1,170.0,1.8542000000000003
2191,Earnie Killum,1971,1971,G,6-3,180.0,1.9050000000000002
2192,Carl Kilpatrick,1980,1980,C,6-10,230.0,2.0828
2193,Sean Kilpatrick,2015,2018,G,6-4,210.0,1.9304000000000001
2194,Toby Kimball,1967,1975,F,6-6,220.0,1.9812000000000003
2195,Bo Kimble,1991,1993,G,6-4,190.0,1.9304000000000001
2196,Stan Kimbrough,1990,1993,G,5-11,153.0,1.8034
2197,Chad Kinch,1981,1981,G,6-4,190.0,1.9304000000000001
2198,Albert King,1982,1992,F,6-6,190.0,1.9812000000000003
2199,Bernard King,1978,1993,F,6-7,205.0,2.0066
2200,Chris King,1994,1999,F,6-8,215.0,2.032
2201,Dan King,1955,1955,F,6-6,220.0,1.9812000000000003
2202,Frankie King,1996,1997,G,6-1,185.0,1.8542000000000003
2203,George King,1952,1958,G,6-0,175.0,1.8288000000000002
2204,Gerard King,1999,2001,F,6-9,230.0,2.0574000000000003
2205,Jim King,1964,1973,G,6-2,175.0,1.8796000000000002
2206,Jimmy King,1996,1997,G,6-5,210.0,1.9558000000000002
2207,Loyd King,1972,1973,G,6-2,180.0,1.8796000000000002
2208,Maury King,1960,1963,G,6-2,195.0,1.8796000000000002
2209,Reggie King,1980,1985,F,6-6,225.0,1.9812000000000003
2210,Rich King,1992,1995,C,7-2,260.0,2.1844
2211,Ron King,1974,1974,G,6-4,185.0,1.9304000000000001
2212,Stacey King,1990,1997,F,6-11,230.0,2.1082
2213,Tom King,1947,1947,G,6-0,165.0,1.8288000000000002
2214,Bob Kinney,1949,1950,C,6-6,215.0,1.9812000000000003
2215,Tarence Kinsey,2007,2009,G,6-6,185.0,1.9812000000000003
2216,Andrei Kirilenko,2002,2015,F,6-9,220.0,2.0574000000000003
2217,Alex Kirk,2015,2015,C,7-0,245.0,2.1336
2218,Walt Kirk,1949,1952,G,6-3,173.0,1.9050000000000002
2219,Wilber Kirkland,1970,1970,F,6-7,190.0,2.0066
2220,Jim Kissane,1969,1969,F,6-7,210.0,2.0066
2221,Doug Kistler,1962,1962,F,6-9,210.0,2.0574000000000003
2222,Curtis Kitchen,1987,1987,F,6-9,235.0,2.0574000000000003
2223,Greg Kite,1984,1995,C,6-11,250.0,2.1082
2224,Kerry Kittles,1997,2005,G,6-5,179.0,1.9558000000000002
2225,Maxi Kleber,2018,2018,F,6-10,220.0,2.0828
2226,Joe Kleine,1986,2000,C,6-11,255.0,2.1082
2227,Linas Kleiza,2006,2013,F,6-8,245.0,2.032
2228,Leo Klier,1949,1950,F,6-2,170.0,1.8796000000000002
2229,Herm Klotz,1948,1948,G,5-7,150.0,1.7018
2230,Duane Klueh,1950,1951,G,6-3,175.0,1.9050000000000002
2231,Lonnie Kluttz,1971,1971,F,6-7,220.0,2.0066
2232,Billy Knight,1975,1985,G,6-6,195.0,1.9812000000000003
2233,Bob Knight,1955,1955,G,6-2,185.0,1.8796000000000002
2234,Brandin Knight,2005,2005,G,6-0,180.0,1.8288000000000002
2235,Brandon Knight,2012,2017,G,6-3,189.0,1.9050000000000002
2236,Brevin Knight,1998,2009,G,5-10,173.0,1.778
2237,Negele Knight,1991,1999,G,6-1,175.0,1.8542000000000003
2238,Ron Knight,1971,1972,F,6-7,215.0,2.0066
2239,Toby Knight,1978,1982,F,6-9,210.0,2.0574000000000003
2240,Travis Knight,1997,2003,C,7-0,235.0,2.1336
2241,Lee Knorek,1947,1950,C,6-7,215.0,2.0066
2242,Dick Knostman,1954,1954,C,6-6,215.0,1.9812000000000003
2243,Rod Knowles,1969,1969,F,6-9,215.0,2.0574000000000003
2244,Bart Kofoed,1988,1993,G,6-4,210.0,1.9304000000000001
2245,Don Kojis,1964,1975,F,6-5,215.0,1.9558000000000002
2246,Milo Komenich,1950,1950,F,6-7,212.0,2.0066
2247,Howard Komives,1965,1974,G,6-1,185.0,1.8542000000000003
2248,Jon Koncak,1986,1996,C,7-0,250.0,2.1336
2249,Tom Kondla,1969,1969,C,6-8,225.0,2.032
2250,Bud Koper,1965,1965,G,6-6,210.0,1.9812000000000003
2251,Joe Kopicki,1983,1985,F,6-9,240.0,2.0574000000000003
2252,Furkan Korkmaz,2018,2018,G,6-7,185.0,2.0066
2253,Frank Kornet,1990,1991,F,6-9,225.0,2.0574000000000003
2254,Yaroslav Korolev,2006,2007,F,6-9,203.0,2.0574000000000003
2255,Kyle Korver,2004,2018,G,6-7,212.0,2.0066
2256,Tony Koski,1969,1969,F,6-8,215.0,2.032
2257,Len Kosmalski,1975,1976,C,7-0,245.0,2.1336
2258,Andy Kostecka,1949,1949,F,6-3,203.0,1.9050000000000002
2259,Harold Kottman,1947,1947,C,6-8,220.0,2.032
2260,Kosta Koufos,2009,2018,C,7-0,265.0,2.1336
2261,Tom Kozelko,1974,1976,F,6-8,220.0,2.032
2262,Ronald Kozlicki,1968,1968,F,6-7,215.0,2.0066
2263,Arvid Kramer,1980,1980,C,6-9,220.0,2.0574000000000003
2264,Barry Kramer,1965,1970,F,6-4,200.0,1.9304000000000001
2265,Joel Kramer,1979,1983,F,6-7,203.0,2.0066
2266,Steven Kramer,1968,1970,G,6-5,200.0,1.9558000000000002
2267,Dan Kraus,1949,1949,G,6-0,195.0,1.8288000000000002
2268,Herb Krautblatt,1949,1949,G,6-1,190.0,1.8542000000000003
2269,Viacheslav Kravtsov,2013,2014,C,7-0,260.0,2.1336
2270,Jim Krebs,1958,1964,C,6-8,230.0,2.032
2271,Wayne Kreklow,1981,1981,G,6-4,175.0,1.9304000000000001
2272,Tommy Kron,1967,1970,G,6-5,200.0,1.9558000000000002
2273,Tom Kropp,1976,1977,G,6-3,205.0,1.9050000000000002
2274,Nenad Krstic,2005,2011,C,7-0,240.0,2.1336
2275,Larry Krystkowiak,1987,1997,F,6-9,220.0,2.0574000000000003
2276,Steve Kuberski,1970,1978,F,6-8,215.0,2.032
2277,Leo Kubiak,1950,1950,G,5-11,160.0,1.8034
2278,Bruce Kuczenski,1984,1984,F,6-10,230.0,2.0828
2279,Frank Kudelka,1950,1953,G,6-2,193.0,1.8796000000000002
2280,John Kuester,1978,1980,G,6-2,180.0,1.8796000000000002
2281,Ray Kuka,1948,1949,F,6-3,200.0,1.9050000000000002
2282,Toni Kukoc,1994,2006,F,6-10,192.0,2.0828
2283,Kevin Kunnert,1974,1982,C,7-0,230.0,2.1336
2284,Terry Kunze,1968,1968,G,6-4,210.0,1.9304000000000001
2285,Mitch Kupchak,1977,1986,F,6-9,230.0,2.0574000000000003
2286,C.J. Kupec,1976,1978,F,6-6,220.0,1.9812000000000003
2287,Rob Kurz,2009,2009,F,6-9,232.0,2.0574000000000003
2288,Ibo Kutluay,2005,2005,G,6-6,200.0,1.9812000000000003
2289,Kyle Kuzma,2018,2018,F,6-9,220.0,2.0574000000000003
2290,Ognjen Kuzmic,2014,2015,C,7-1,251.0,2.159
2291,Mindaugas Kuzminskas,2017,2018,F,6-9,215.0,2.0574000000000003
2292,Skal Labissiere,2017,2018,F,6-11,225.0,2.1082
2293,Reggie Lacefield,1969,1969,G,6-5,230.0,1.9558000000000002
2294,Edgar Lacey,1969,1969,F,6-6,190.0,1.9812000000000003
2295,Sam Lacey,1971,1983,C,6-10,235.0,2.0828
2296,Bob Lackey,1973,1974,G,6-5,200.0,1.9558000000000002
2297,Fred LaCour,1961,1963,G,6-5,210.0,1.9558000000000002
2298,Wendell Ladner,1971,1975,F,6-5,220.0,1.9558000000000002
2299,Christian Laettner,1993,2005,F,6-11,235.0,2.1082
2300,Oliver Lafayette,2010,2010,G,6-2,190.0,1.8796000000000002
2301,Raef LaFrentz,1999,2008,F,6-11,240.0,2.1082
2302,Tom LaGarde,1978,1985,C,6-10,220.0,2.0828
2303,Bill Laimbeer,1981,1994,C,6-11,245.0,2.1082
2304,Pete Lalich,1947,1947,F,6-2,190.0,1.8796000000000002
2305,Bo Lamar,1974,1977,G,6-1,180.0,1.8542000000000003
2306,Doron Lamb,2013,2014,G,6-4,210.0,1.9304000000000001
2307,Jeremy Lamb,2013,2018,G,6-5,185.0,1.9558000000000002
2308,John Lambert,1976,1982,C,6-10,225.0,2.0828
2309,Jeff Lamp,1982,1989,F,6-6,195.0,1.9812000000000003
2310,Maciej Lampe,2004,2006,C,6-11,275.0,2.1082
2311,Jim Lampley,1987,1987,C,6-10,230.0,2.0828
2312,Sean Lampley,2003,2004,F,6-7,227.0,2.0066
2313,Carl Landry,2008,2016,F,6-9,248.0,2.0574000000000003
2314,Marcus Landry,2010,2010,F,6-7,230.0,2.0066
2315,Mark Landsberger,1978,1984,F,6-8,215.0,2.032
2316,Jerome Lane,1989,1993,F,6-6,230.0,1.9812000000000003
2317,Andrew Lang,1989,2000,C,6-11,245.0,2.1082
2318,Antonio Lang,1995,2000,F,6-8,205.0,2.032
2319,James Lang,2007,2007,C,6-10,285.0,2.0828
2320,Trajan Langdon,2000,2002,G,6-3,197.0,1.9050000000000002
2321,Keith Langford,2008,2008,G,6-4,215.0,1.9304000000000001
2322,Dan Langhi,2001,2004,F,6-11,220.0,2.1082
2323,Bob Lanier,1971,1984,C,6-11,250.0,2.1082
2324,Stu Lantz,1969,1976,G,6-3,175.0,1.9050000000000002
2325,Nicolas Laprovittola,2017,2017,G,6-4,180.0,1.9304000000000001
2326,York Larese,1962,1962,G,6-4,183.0,1.9304000000000001
2327,Shane Larkin,2014,2018,G,5-11,175.0,1.8034
2328,Rusty LaRue,1998,2004,G,6-2,210.0,1.8796000000000002
2329,Rudy LaRusso,1960,1969,F,6-7,220.0,2.0066
2330,John Laskowski,1976,1977,G,6-6,185.0,1.9812000000000003
2331,Stephane Lasme,2008,2008,F,6-8,215.0,2.032
2332,Dave Lattin,1968,1973,F,6-6,225.0,1.9812000000000003
2333,Priest Lauderdale,1997,1998,C,7-4,325.0,2.2352
2334,Rich Laurel,1978,1978,G,6-6,190.0,1.9812000000000003
2335,Harry Laurie,1971,1971,G,6-1,178.0,1.8542000000000003
2336,Walt Lautenbach,1950,1950,G,6-2,185.0,1.8796000000000002
2337,Joffrey Lauvergne,2015,2018,C,6-11,220.0,2.1082
2338,Tony Lavelli,1950,1951,F,6-3,185.0,1.9050000000000002
2339,Zach LaVine,2015,2017,G,6-5,189.0,1.9558000000000002
2340,Bob Lavoy,1951,1954,F,6-7,185.0,2.0066
2341,Acie Law,2008,2011,G,6-3,195.0,1.9050000000000002
2342,Gani Lawal,2011,2011,F,6-9,234.0,2.0574000000000003
2343,Edmund Lawrence,1981,1981,C,7-0,228.0,2.1336
2344,Jason Lawson,1998,1998,C,6-11,240.0,2.1082
2345,Ty Lawson,2010,2017,G,5-11,195.0,1.8034
2346,Jake Layman,2017,2018,F,6-9,210.0,2.0574000000000003
2347,Mo Layton,1972,1978,G,6-1,180.0,1.8542000000000003
2348,T.J. Leaf,2018,2018,F,6-10,222.0,2.0828
2349,Manny Leaks,1969,1974,C,6-8,225.0,2.032
2350,Hal Lear,1957,1957,G,6-0,163.0,1.8288000000000002
2351,Allen Leavell,1980,1989,G,6-1,170.0,1.8542000000000003
2352,Jeff Lebo,1990,1990,G,6-2,180.0,1.8796000000000002
2353,Eric Leckner,1989,1997,C,6-11,265.0,2.1082
2354,Ricky Ledo,2014,2015,G,6-7,195.0,2.0066
2355,Butch Lee,1979,1980,G,6-0,185.0,1.8288000000000002
2356,Clyde Lee,1967,1976,F,6-10,205.0,2.0828
2357,Courtney Lee,2009,2018,G,6-5,200.0,1.9558000000000002
2358,David Lee,1968,1969,F,6-7,225.0,2.0066
2359,David Lee,2006,2017,F,6-9,245.0,2.0574000000000003
2361,Doug Lee,1992,1995,G,6-5,200.0,1.9558000000000002
2362,George Lee,1961,1968,F,6-4,200.0,1.9304000000000001
2363,Greg Lee,1975,1976,G,6-3,190.0,1.9050000000000002
2364,Keith Lee,1986,1989,F,6-10,215.0,2.0828
2365,Kurk Lee,1991,1991,G,6-3,190.0,1.9050000000000002
2366,Malcolm Lee,2012,2015,G,6-5,200.0,1.9558000000000002
2367,Rock Lee,1982,1982,C,6-10,220.0,2.0828
2368,Ron Lee,1977,1982,G,6-4,193.0,1.9304000000000001
2369,Russ Lee,1973,1975,G,6-5,185.0,1.9558000000000002
2370,Ed Leede,1950,1951,F,6-3,185.0,1.9050000000000002
2371,Hank Lefkowitz,1947,1947,F,6-2,190.0,1.8796000000000002
2372,Tim Legler,1990,2000,G,6-4,200.0,1.9304000000000001
2373,George Lehmann,1968,1974,G,6-0,180.0,1.8288000000000002
2374,Alex Len,2014,2018,C,7-1,260.0,2.159
2375,Voshon Lenard,1996,2006,G,6-4,205.0,1.9304000000000001
2376,Leary Lentz,1968,1969,F,6-6,200.0,1.9812000000000003
2377,Gary Leonard,1990,1992,C,7-1,250.0,2.159
2378,Kawhi Leonard,2012,2018,F,6-7,230.0,2.0066
2379,Meyers Leonard,2013,2018,C,7-1,245.0,2.159
2380,Slick Leonard,1957,1963,G,6-3,185.0,1.9050000000000002
2381,Jim Les,1989,1995,G,5-11,165.0,1.8034
2382,Travis Leslie,2012,2012,G,6-4,205.0,1.9304000000000001
2383,Ronnie Lester,1981,1986,G,6-2,175.0,1.8796000000000002
2384,Clifford Lett,1990,1991,G,6-3,170.0,1.9050000000000002
2385,Jon Leuer,2012,2018,F,6-10,228.0,2.0828
2386,Andrew Levane,1949,1953,F,6-2,190.0,1.8796000000000002
2387,Fat Lever,1983,1994,G,6-3,170.0,1.9050000000000002
2388,Caris LeVert,2017,2018,G,6-7,203.0,2.0066
2389,Cliff Levingston,1983,1995,F,6-8,210.0,2.032
2390,Bobby Lewis,1968,1971,G,6-3,175.0,1.9050000000000002
2391,Cedric Lewis,1996,1996,F,6-10,235.0,2.0828
2392,Freddie Lewis,1949,1950,F,6-2,195.0,1.8796000000000002
2393,Freddie Lewis,1967,1977,G,6-0,175.0,1.8288000000000002
2394,Grady Lewis,1947,1949,F,6-7,215.0,2.0066
2395,Martin Lewis,1996,1997,F,6-5,210.0,1.9558000000000002
2396,Mike Lewis,1969,1974,C,6-8,225.0,2.032
2397,Quincy Lewis,2000,2004,F,6-7,215.0,2.0066
2398,Ralph Lewis,1988,1990,G,6-6,200.0,1.9812000000000003
2399,Rashard Lewis,1999,2014,F,6-10,215.0,2.0828
2400,Reggie Lewis,1988,1993,G,6-7,195.0,2.0066
2401,Marcus Liberty,1991,1994,F,6-8,205.0,2.032
2402,Todd Lichti,1990,1994,G,6-4,205.0,1.9304000000000001
2403,Barry Liebowitz,1968,1968,G,6-2,180.0,1.8796000000000002
2404,DeAndre Liggins,2012,2018,G,6-6,209.0,1.9812000000000003
2405,Bill Ligon,1975,1975,G,6-4,180.0,1.9304000000000001
2406,Goose Ligon,1968,1974,F,6-7,210.0,2.0066
2407,Damian Lillard,2013,2018,G,6-3,195.0,1.9050000000000002
2408,Jeremy Lin,2011,2018,G,6-3,200.0,1.9050000000000002
2409,Steve Lingenfelter,1983,1984,F,6-9,225.0,2.0574000000000003
2410,Alton Lister,1982,1998,C,7-0,240.0,2.1336
2411,Samuel Little,1970,1970,G,6-0,180.0,1.8288000000000002
2412,Gene Littles,1970,1975,G,6-0,160.0,1.8288000000000002
2413,Randy Livingston,1997,2007,G,6-4,209.0,1.9304000000000001
2414,Shaun Livingston,2005,2018,G,6-7,192.0,2.0066
2415,Ron Livingstone,1950,1951,C,6-10,220.0,2.0828
2416,Horacio Llamas Grey,1997,1998,C,6-11,285.0,2.1082
2417,Bobby Lloyd,1968,1969,G,6-2,184.0,1.8796000000000002
2418,Chuck Lloyd,1971,1971,C,6-8,220.0,2.032
2419,Earl Lloyd,1951,1960,F,6-5,200.0,1.9558000000000002
2420,Lewis Lloyd,1982,1990,G,6-6,205.0,1.9812000000000003
2421,Scott Lloyd,1977,1983,C,6-10,230.0,2.0828
2422,Riney Lochmann,1968,1970,F,6-6,215.0,1.9812000000000003
2423,Bob Lochmueller,1953,1953,F,6-5,185.0,1.9558000000000002
2424,Rob Lock,1989,1989,F,6-9,225.0,2.0574000000000003
2425,Darrell Lockhart,1984,1984,C,6-9,245.0,2.0574000000000003
2426,Ian Lockhart,1991,1991,F,6-8,240.0,2.032
2427,Kevin Loder,1982,1984,F,6-6,205.0,1.9812000000000003
2428,Don Lofgran,1951,1954,F,6-5,200.0,1.9558000000000002
2429,Henry Logan,1969,1970,G,6-0,180.0,1.8288000000000002
2430,John Logan,1947,1951,G,6-2,175.0,1.8796000000000002
2431,Brad Lohaus,1988,1998,F,6-11,230.0,2.1082
2432,Art Long,2001,2003,F,6-9,250.0,2.0574000000000003
2433,Grant Long,1989,2003,F,6-8,225.0,2.032
2434,John Long,1979,1997,G,6-5,195.0,1.9558000000000002
2435,Paul Long,1968,1971,G,6-2,180.0,1.8796000000000002
2436,Shawn Long,2017,2017,C,6-9,255.0,2.0574000000000003
2437,Willie Long,1972,1974,F,6-8,225.0,2.032
2438,Luc Longley,1992,2001,C,7-2,265.0,2.1844
2439,Kevon Looney,2016,2018,F,6-9,220.0,2.0574000000000003
2440,Brook Lopez,2009,2018,C,7-0,275.0,2.1336
2441,Felipe Lopez,1999,2002,G,6-5,199.0,1.9558000000000002
2442,Raul Lopez,2004,2005,G,6-1,170.0,1.8542000000000003
2443,Robin Lopez,2009,2018,C,7-0,255.0,2.1336
2444,Ryan Lorthridge,1995,1995,G,6-4,190.0,1.9304000000000001
2445,Jim Loscutoff,1956,1964,F,6-5,220.0,1.9558000000000002
2446,Plummer Lott,1968,1969,F,6-5,210.0,1.9558000000000002
2447,Kevin Loughery,1963,1973,G,6-3,190.0,1.9050000000000002
2448,Bob Love,1967,1977,F,6-8,215.0,2.032
2449,Kevin Love,2009,2018,F,6-10,251.0,2.0828
2450,Stan Love,1972,1975,F,6-9,215.0,2.0574000000000003
2451,Clyde Lovellette,1954,1964,C,6-9,234.0,2.0574000000000003
2452,Sidney Lowe,1984,1990,G,6-0,195.0,1.8288000000000002
2453,Charlie Lowery,1972,1972,G,6-3,185.0,1.9050000000000002
2454,Kyle Lowry,2007,2018,G,6-0,205.0,1.8288000000000002
2455,Al Lucas,1949,1949,F,6-3,195.0,1.9050000000000002
2456,Jerry Lucas,1964,1974,F,6-8,230.0,2.032
2457,John Lucas,1977,1990,G,6-3,175.0,1.9050000000000002
2458,Kalin Lucas,2015,2015,G,6-1,195.0,1.8542000000000003
2459,Maurice Lucas,1975,1988,F,6-9,215.0,2.0574000000000003
2460,John Lucas III,2006,2017,G,5-11,166.0,1.8034
2461,Ted Luckenbill,1962,1963,F,6-6,205.0,1.9812000000000003
2462,Tyronn Lue,1999,2009,G,6-0,175.0,1.8288000000000002
2463,Jim Luisi,1954,1954,G,6-2,180.0,1.8796000000000002
2464,Al Lujack,1947,1947,F,6-3,220.0,1.9050000000000002
2465,Phil Lumpkin,1975,1976,G,6-0,165.0,1.8288000000000002
2466,Ray Lumpp,1949,1953,G,6-1,178.0,1.8542000000000003
2467,Timothe Luwawu-Cabarrot,2017,2018,F,6-6,205.0,1.9812000000000003
2468,Tyler Lydon,2018,2018,F,6-10,215.0,2.0828
2469,Trey Lyles,2016,2018,F,6-10,234.0,2.0828
2470,R.B. Lynam,1968,1968,G,6-1,190.0,1.8542000000000003
2471,George Lynch,1994,2005,F,6-8,218.0,2.032
2472,Kevin Lynch,1992,1993,G,6-5,195.0,1.9558000000000002
2473,Lonnie Lynn,1970,1970,F,6-7,215.0,2.0066
2474,Mike Lynn,1970,1971,F,6-7,215.0,2.0066
2475,Sheldon Mac,2017,2017,G,6-5,200.0,1.9558000000000002
2476,Mike Macaluso,1974,1974,F,6-5,210.0,1.9558000000000002
2477,Ed Macauley,1950,1959,C,6-8,185.0,2.032
2478,Todd MacCulloch,2000,2003,C,7-0,280.0,2.1336
2479,Ronnie MacGilvray,1955,1955,G,6-2,185.0,1.8796000000000002
2480,Scott Machado,2013,2013,G,6-1,205.0,1.8542000000000003
2481,Arvydas Macijauskas,2006,2006,G,6-4,214.0,1.9304000000000001
2482,Ollie Mack,1980,1982,G,6-3,185.0,1.9050000000000002
2483,Sam Mack,1993,2002,F,6-7,220.0,2.0066
2484,Shelvin Mack,2012,2018,G,6-3,203.0,1.9050000000000002
2485,Malcolm Mackey,1994,1994,F,6-9,248.0,2.0574000000000003
2486,Rudy Macklin,1982,1984,F,6-7,205.0,2.0066
2487,Vernon Macklin,2012,2012,F,6-10,227.0,2.0828
2488,Johnny Macknowsky,1950,1951,G,6-0,180.0,1.8288000000000002
2489,Don MacLean,1993,2001,F,6-10,235.0,2.0828
2490,Mark Macon,1992,1999,G,6-5,185.0,1.9558000000000002
2491,Kyle Macy,1981,1987,G,6-3,175.0,1.9050000000000002
2492,Jack Maddox,1949,1949,F,6-3,185.0,1.9050000000000002
2493,Tito Maddox,2003,2003,G,6-4,190.0,1.9304000000000001
2494,Gerald Madkins,1994,1998,G,6-4,200.0,1.9304000000000001
2495,Mark Madsen,2001,2009,F,6-9,240.0,2.0574000000000003
2496,Norm Mager,1951,1951,F,6-5,185.0,1.9558000000000002
2497,Josh Magette,2018,2018,G,6-1,160.0,1.8542000000000003
2498,Corey Maggette,2000,2013,F,6-6,218.0,1.9812000000000003
2499,Dave Magley,1983,1983,F,6-8,202.0,2.032
2500,Jamaal Magloire,2001,2012,C,6-11,259.0,2.1082
2501,Randolph Mahaffey,1968,1971,F,6-7,210.0,2.0066
2502,Ian Mahinmi,2008,2018,C,6-11,250.0,2.1082
2503,John Mahnken,1947,1953,C,6-8,220.0,2.032
2504,Brian Mahoney,1973,1973,G,6-3,175.0,1.9050000000000002
2505,Mo Mahoney,1953,1954,F,6-2,205.0,1.8796000000000002
2506,Rick Mahorn,1981,1999,C,6-10,240.0,2.0828
2507,Dan Majerle,1989,2002,G,6-6,215.0,1.9812000000000003
2508,Renaldo Major,2007,2007,F,6-7,200.0,2.0066
2509,Thon Maker,2017,2018,F,7-1,216.0,2.159
2510,Lionel Malamed,1949,1949,G,5-9,150.0,1.7526
2511,Jeff Malone,1984,1996,G,6-4,205.0,1.9304000000000001
2512,Karl Malone,1986,2004,F,6-9,250.0,2.0574000000000003
2513,Moses Malone,1975,1995,C,6-10,215.0,2.0828
2514,Matt Maloney,1997,2003,G,6-3,192.0,1.9050000000000002
2515,Steve Malovic,1980,1980,F,6-10,230.0,2.0828
2516,Mike Maloy,1971,1973,F,6-7,215.0,2.0066
2517,Ted Manakas,1974,1974,G,6-2,180.0,1.8796000000000002
2518,John Mandic,1949,1950,F,6-4,205.0,1.9304000000000001
2519,Frank Mangiapane,1947,1947,G,5-10,195.0,1.778
2520,Danny Manning,1989,2003,F,6-10,230.0,2.0828
2521,Ed Manning,1968,1976,F,6-7,210.0,2.0066
2522,Guy Manning,1968,1969,F,6-6,195.0,1.9812000000000003
2523,Rich Manning,1996,1997,C,6-11,253.0,2.1082
2524,Pace Mannion,1984,1989,G,6-7,190.0,2.0066
2525,Nick Mantis,1960,1963,G,6-3,190.0,1.9050000000000002
2526,Pete Maravich,1971,1980,G,6-5,197.0,1.9558000000000002
2527,Press Maravich,1947,1947,G,6-0,185.0,1.8288000000000002
2528,Devyn Marble,2015,2016,G,6-6,200.0,1.9812000000000003
2529,Roy Marble,1990,1994,G,6-6,190.0,1.9812000000000003
2530,Stephon Marbury,1997,2009,G,6-2,180.0,1.8796000000000002
2531,Sarunas Marciulionis,1990,1997,G,6-5,200.0,1.9558000000000002
2532,Saul Mariaschin,1948,1948,G,5-11,165.0,1.8034
2533,Jack Marin,1967,1977,F,6-7,200.0,2.0066
2534,Shawn Marion,2000,2015,F,6-7,220.0,2.0066
2535,Boban Marjanovic,2016,2018,C,7-3,290.0,2.2098
2536,Lauri Markkanen,2018,2018,F,7-0,230.0,2.1336
2537,Damir Markota,2007,2007,C,6-10,225.0,2.0828
2538,Sean Marks,1999,2011,F,6-10,250.0,2.0828
2539,Harvey Marlatt,1971,1973,G,6-3,185.0,1.9050000000000002
2540,Jim Marsh,1972,1972,F,6-7,215.0,2.0066
2541,Ricky Marsh,1978,1978,G,6-3,200.0,1.9050000000000002
2542,Donny Marshall,1996,2003,F,6-7,230.0,2.0066
2543,Donyell Marshall,1995,2009,F,6-9,218.0,2.0574000000000003
